key,value
Marc,/Users/eyalmichaeli/Desktop/School/Master's/IDC_masters/big_data_platforms_ex2/csvs/myCSV3.csv
Scott,/Users/eyalmichaeli/Desktop/School/Master's/IDC_masters/big_data_platforms_ex2/csvs/myCSV3.csv
Johanna,/Users/eyalmichaeli/Desktop/School/Master's/IDC_masters/big_data_platforms_ex2/csvs/myCSV3.csv
Dana,/Users/eyalmichaeli/Desktop/School/Master's/IDC_masters/big_data_platforms_ex2/csvs/myCSV3.csv
Steven,/Users/eyalmichaeli/Desktop/School/Master's/IDC_masters/big_data_platforms_ex2/csvs/myCSV3.csv
Johanna,/Users/eyalmichaeli/Desktop/School/Master's/IDC_masters/big_data_platforms_ex2/csvs/myCSV3.csv
Albert,/Users/eyalmichaeli/Desktop/School/Master's/IDC_masters/big_data_platforms_ex2/csvs/myCSV3.csv
Steven,/Users/eyalmichaeli/Desktop/School/Master's/IDC_masters/big_data_platforms_ex2/csvs/myCSV3.csv
Marc,/Users/eyalmichaeli/Desktop/School/Master's/IDC_masters/big_data_platforms_ex2/csvs/myCSV3.csv
Albert,/Users/eyalmichaeli/Desktop/School/Master's/IDC_masters/big_data_platforms_ex2/csvs/myCSV3.csv
