key,value
Steven,/Users/eyalmichaeli/Desktop/School/Master's/IDC_masters/big_data_platforms_ex2/csvs/myCSV4.csv
Steven,/Users/eyalmichaeli/Desktop/School/Master's/IDC_masters/big_data_platforms_ex2/csvs/myCSV4.csv
Dana,/Users/eyalmichaeli/Desktop/School/Master's/IDC_masters/big_data_platforms_ex2/csvs/myCSV4.csv
Johanna,/Users/eyalmichaeli/Desktop/School/Master's/IDC_masters/big_data_platforms_ex2/csvs/myCSV4.csv
John,/Users/eyalmichaeli/Desktop/School/Master's/IDC_masters/big_data_platforms_ex2/csvs/myCSV4.csv
John,/Users/eyalmichaeli/Desktop/School/Master's/IDC_masters/big_data_platforms_ex2/csvs/myCSV4.csv
John,/Users/eyalmichaeli/Desktop/School/Master's/IDC_masters/big_data_platforms_ex2/csvs/myCSV4.csv
Michael,/Users/eyalmichaeli/Desktop/School/Master's/IDC_masters/big_data_platforms_ex2/csvs/myCSV4.csv
Albert,/Users/eyalmichaeli/Desktop/School/Master's/IDC_masters/big_data_platforms_ex2/csvs/myCSV4.csv
Michael,/Users/eyalmichaeli/Desktop/School/Master's/IDC_masters/big_data_platforms_ex2/csvs/myCSV4.csv
