key,value
Scott,/Users/eyalmichaeli/Desktop/School/Master's/IDC_masters/big_data_platforms_ex2/csvs/myCSV1.csv
Dana,/Users/eyalmichaeli/Desktop/School/Master's/IDC_masters/big_data_platforms_ex2/csvs/myCSV1.csv
John,/Users/eyalmichaeli/Desktop/School/Master's/IDC_masters/big_data_platforms_ex2/csvs/myCSV1.csv
Marc,/Users/eyalmichaeli/Desktop/School/Master's/IDC_masters/big_data_platforms_ex2/csvs/myCSV1.csv
Michael,/Users/eyalmichaeli/Desktop/School/Master's/IDC_masters/big_data_platforms_ex2/csvs/myCSV1.csv
Michael,/Users/eyalmichaeli/Desktop/School/Master's/IDC_masters/big_data_platforms_ex2/csvs/myCSV1.csv
Dana,/Users/eyalmichaeli/Desktop/School/Master's/IDC_masters/big_data_platforms_ex2/csvs/myCSV1.csv
Johanna,/Users/eyalmichaeli/Desktop/School/Master's/IDC_masters/big_data_platforms_ex2/csvs/myCSV1.csv
Steven,/Users/eyalmichaeli/Desktop/School/Master's/IDC_masters/big_data_platforms_ex2/csvs/myCSV1.csv
John,/Users/eyalmichaeli/Desktop/School/Master's/IDC_masters/big_data_platforms_ex2/csvs/myCSV1.csv
