firstname,secondname,city
John,Sutcliffe,TelAviv
Albert,Harrison,London
John,Sutcliffe,Haifa
Dana,Lennon,London
Michael,Epstein,Hamburg
Marc,Sutcliffe,TelAviv
Steven,Harrison,PaloAlto
John,Harrison,PaloAlto
John,Sutcliffe,Haifa
Steven,Epstein,TelAviv
Marc,McCartney,NewYork
Johanna,Lennon,PaloAlto
Scott,Preston,NewYork
Dana,Ono,PaloAlto
Dana,Epstein,Haifa
Scott,Epstein,Munchen
Albert,Epstein,Munchen
John,Ono,Hamburg
Johanna,Lennon,NewYork
Albert,Starr,TelAviv
Johanna,Ono,Munchen
Albert,Sutcliffe,PaloAlto
Michael,Epstein,TelAviv
Johanna,Sutcliffe,PaloAlto
Albert,Harrison,London
John,McCartney,Hamburg
Dana,McCartney,PaloAlto
Scott,Sutcliffe,TelAviv
John,Ono,Haifa
Albert,McCartney,Kiel
Dana,Lennon,Haifa
Dana,Harrison,TelAviv
Dana,Ono,Munchen
Albert,Starr,London
Steven,Starr,London
Albert,Lennon,Hamburg
John,Epstein,TelAviv
John,Sutcliffe,London
Marc,Epstein,NewYork
Michael,Lennon,Haifa
Dana,Epstein,London
Scott,McCartney,Hamburg
John,Sutcliffe,PaloAlto
Steven,Epstein,NewYork
Johanna,Ono,Haifa
Marc,McCartney,Hamburg
Johanna,Ono,London
Dana,Harrison,NewYork
Albert,McCartney,Munchen
Michael,Starr,Hamburg
Steven,Harrison,London
Steven,Epstein,PaloAlto
Scott,Harrison,TelAviv
John,Sutcliffe,TelAviv
Marc,Lennon,TelAviv
Steven,Sutcliffe,Munchen
Steven,Ono,PaloAlto
Scott,Harrison,TelAviv
Johanna,Ono,PaloAlto
Dana,Starr,Hamburg
Dana,McCartney,Kiel
John,Ono,TelAviv
Johanna,Starr,NewYork
Marc,McCartney,Haifa
Albert,Ono,Munchen
Albert,McCartney,NewYork
Albert,Starr,NewYork
Michael,Harrison,Haifa
Scott,Epstein,London
Albert,Preston,PaloAlto
Albert,McCartney,Kiel
Michael,Starr,PaloAlto
Michael,Starr,Kiel
Albert,Lennon,PaloAlto
Steven,Harrison,London
