firstname,secondname,city
Michael,Starr,London
Marc,Ono,Munchen
Marc,Epstein,London
Albert,Starr,NewYork
Scott,Sutcliffe,Hamburg
John,Harrison,London
Marc,Lennon,NewYork
Johanna,Epstein,NewYork
Michael,Ono,TelAviv
Michael,Ono,PaloAlto
Albert,Sutcliffe,Munchen
John,Preston,Hamburg
Scott,McCartney,Munchen
Johanna,McCartney,Kiel
Johanna,Harrison,Hamburg
Steven,Epstein,TelAviv
Scott,Ono,Hamburg
Scott,Epstein,Kiel
Michael,Preston,NewYork
John,Lennon,Hamburg
Steven,Sutcliffe,NewYork
Marc,Lennon,PaloAlto
Scott,Epstein,TelAviv
Scott,Harrison,Hamburg
John,Ono,Hamburg
Steven,Preston,Hamburg
Dana,Ono,Munchen
Michael,Starr,PaloAlto
Michael,McCartney,Kiel
Marc,Starr,Haifa
Dana,Ono,Hamburg
Michael,McCartney,NewYork
Scott,Lennon,London
Michael,Preston,Munchen
Michael,Harrison,PaloAlto
Michael,Epstein,Haifa
Scott,Epstein,PaloAlto
Steven,Epstein,Kiel
Albert,Starr,TelAviv
Michael,Lennon,Haifa
Steven,Harrison,PaloAlto
Scott,McCartney,Munchen
John,McCartney,Haifa
Steven,McCartney,London
Marc,McCartney,TelAviv
John,Ono,TelAviv
Albert,Harrison,Hamburg
Dana,McCartney,Hamburg
John,Ono,Munchen
John,Lennon,Hamburg
Scott,McCartney,Hamburg
Michael,McCartney,PaloAlto
Johanna,Ono,Hamburg
Michael,Epstein,Hamburg
Johanna,Ono,Munchen
Scott,Ono,TelAviv
Dana,Ono,London
Marc,Harrison,Kiel
Steven,Lennon,Haifa
Johanna,Harrison,PaloAlto
Steven,Ono,London
Marc,McCartney,NewYork
Steven,Starr,NewYork
Steven,Lennon,Hamburg
John,Epstein,TelAviv
Scott,Ono,London
Steven,McCartney,Kiel
Marc,Sutcliffe,PaloAlto
John,Harrison,Munchen
Steven,Harrison,London
Dana,Lennon,Munchen
Marc,Epstein,Kiel
Scott,Lennon,Hamburg
Johanna,Starr,Kiel
Johanna,Lennon,Haifa
Scott,Preston,Munchen
Michael,Lennon,Haifa
Marc,Preston,Hamburg
Scott,Preston,Kiel
Michael,Preston,Kiel
