firstname,secondname,city
John,Lennon,NewYork
Steven,Harrison,Kiel
Johanna,Starr,London
Steven,Epstein,Haifa
Dana,Sutcliffe,Hamburg
Michael,Ono,Haifa
Johanna,Sutcliffe,PaloAlto
Dana,Lennon,TelAviv
Steven,Starr,PaloAlto
Scott,McCartney,Munchen
Albert,Sutcliffe,London
Dana,Ono,TelAviv
Johanna,Harrison,Munchen
Albert,Harrison,Munchen
Johanna,McCartney,Hamburg
Steven,Epstein,Hamburg
Dana,Lennon,Munchen
Johanna,Starr,Munchen
Marc,Sutcliffe,PaloAlto
Steven,Lennon,NewYork
Michael,Ono,TelAviv
Marc,Sutcliffe,Munchen
Dana,Sutcliffe,Munchen
John,Ono,NewYork
Albert,Lennon,NewYork
Michael,Preston,Kiel
John,Epstein,Haifa
Scott,Sutcliffe,London
Dana,Lennon,London
Steven,McCartney,TelAviv
Michael,McCartney,Kiel
Albert,Lennon,Haifa
Scott,McCartney,Kiel
Dana,Starr,TelAviv
Marc,McCartney,Kiel
John,Sutcliffe,Munchen
Michael,Sutcliffe,TelAviv
Scott,Harrison,Munchen
Steven,Sutcliffe,Haifa
John,Ono,London
Michael,Ono,TelAviv
Albert,Ono,Munchen
Johanna,Harrison,Haifa
Michael,Harrison,Munchen
Dana,Sutcliffe,Kiel
Michael,McCartney,PaloAlto
Dana,Preston,PaloAlto
Dana,Preston,NewYork
Albert,McCartney,Kiel
Dana,Starr,London
Albert,Epstein,Munchen
Scott,Harrison,NewYork
John,Harrison,Hamburg
Michael,Starr,Munchen
Albert,Sutcliffe,NewYork
John,Ono,London
Scott,Starr,Haifa
Marc,Epstein,London
Johanna,Starr,Hamburg
Michael,Lennon,TelAviv
Albert,Harrison,Munchen
Marc,McCartney,Munchen
Marc,Sutcliffe,Munchen
Albert,McCartney,PaloAlto
Steven,McCartney,Munchen
Scott,Sutcliffe,Haifa
Steven,Sutcliffe,TelAviv
Johanna,Ono,Hamburg
Johanna,McCartney,TelAviv
Dana,Ono,PaloAlto
John,Ono,TelAviv
John,Preston,Munchen
Scott,Starr,PaloAlto
Dana,Lennon,NewYork
John,Harrison,Hamburg
