firstname,secondname,city
Steven,McCartney,London
Johanna,Ono,Kiel
Johanna,Sutcliffe,Haifa
John,Epstein,Munchen
Steven,Lennon,NewYork
Albert,Lennon,Hamburg
Johanna,Ono,PaloAlto
John,Preston,Haifa
Albert,Harrison,Haifa
Michael,Ono,TelAviv
Scott,Harrison,Haifa
Michael,Lennon,London
John,Lennon,NewYork
Johanna,McCartney,PaloAlto
Marc,Preston,TelAviv
Steven,Epstein,PaloAlto
Michael,Harrison,NewYork
Michael,Epstein,Haifa
Marc,Epstein,NewYork
Albert,Starr,London
Albert,Harrison,Haifa
John,Harrison,NewYork
Johanna,Ono,Munchen
Dana,Preston,TelAviv
Marc,Epstein,PaloAlto
Marc,Preston,TelAviv
Marc,Epstein,Munchen
Dana,McCartney,Kiel
Marc,Ono,Kiel
Scott,Sutcliffe,Hamburg
John,Preston,TelAviv
Dana,Lennon,Hamburg
Albert,Ono,NewYork
Michael,Preston,PaloAlto
Marc,Epstein,Kiel
John,Preston,Haifa
Marc,Preston,PaloAlto
Michael,Preston,Kiel
John,Starr,Kiel
Steven,Starr,Haifa
Scott,Starr,PaloAlto
Scott,Lennon,NewYork
Scott,Harrison,Hamburg
Marc,Sutcliffe,Hamburg
Dana,Sutcliffe,London
Michael,Lennon,London
Johanna,Sutcliffe,NewYork
John,McCartney,London
Albert,McCartney,London
John,Epstein,Haifa
Marc,Sutcliffe,TelAviv
John,McCartney,Haifa
Dana,Ono,NewYork
Scott,Epstein,London
John,Preston,Kiel
Johanna,McCartney,Hamburg
Steven,McCartney,TelAviv
Albert,McCartney,PaloAlto
Steven,Preston,Haifa
Dana,Sutcliffe,Haifa
Dana,McCartney,London
Michael,Lennon,Munchen
Dana,Lennon,Munchen
Michael,Preston,NewYork
Albert,Starr,Haifa
John,Preston,TelAviv
John,McCartney,NewYork
Albert,Ono,Haifa
Steven,Starr,PaloAlto
Dana,Harrison,London
Steven,Lennon,Hamburg
Marc,McCartney,TelAviv
Marc,McCartney,TelAviv
Marc,Harrison,London
Scott,Harrison,Munchen
John,Sutcliffe,London
Johanna,Epstein,Munchen
Dana,Lennon,NewYork
Albert,Ono,NewYork
Dana,Sutcliffe,Kiel
