firstname,secondname,city
Johanna,Starr,Munchen
Michael,Ono,Kiel
Michael,Epstein,Haifa
Albert,Harrison,PaloAlto
Scott,Starr,NewYork
Johanna,Ono,NewYork
Marc,Preston,London
Marc,Sutcliffe,TelAviv
Albert,McCartney,PaloAlto
Scott,Ono,Haifa
Dana,Harrison,London
Johanna,Sutcliffe,London
John,Epstein,TelAviv
Steven,Ono,London
Michael,Ono,Kiel
Johanna,Starr,Munchen
Marc,Epstein,Kiel
Dana,McCartney,TelAviv
Johanna,Epstein,Kiel
John,Lennon,Munchen
John,Preston,PaloAlto
Michael,Harrison,London
Albert,Ono,TelAviv
Steven,Starr,PaloAlto
Albert,McCartney,Munchen
Albert,Lennon,London
Marc,Sutcliffe,Munchen
Albert,McCartney,Munchen
John,Epstein,Munchen
Albert,Epstein,Haifa
Albert,Lennon,Haifa
Steven,Ono,Haifa
John,Preston,PaloAlto
Johanna,McCartney,London
Marc,Lennon,PaloAlto
John,Lennon,PaloAlto
John,Lennon,Kiel
Marc,Sutcliffe,Hamburg
Albert,Preston,PaloAlto
Albert,Preston,Munchen
Michael,Epstein,Munchen
Marc,Lennon,London
John,McCartney,Haifa
Marc,Starr,NewYork
Marc,Sutcliffe,Hamburg
Dana,Sutcliffe,TelAviv
Steven,Preston,PaloAlto
Steven,Starr,Haifa
Steven,McCartney,PaloAlto
Dana,Ono,PaloAlto
Johanna,Starr,PaloAlto
Dana,Lennon,London
Scott,Lennon,London
Michael,Harrison,Hamburg
Scott,Lennon,Hamburg
Michael,Epstein,London
John,Lennon,PaloAlto
Michael,McCartney,Munchen
Marc,Ono,Munchen
Marc,Sutcliffe,Haifa
Scott,Lennon,NewYork
Albert,Sutcliffe,Munchen
Marc,McCartney,NewYork
Dana,Ono,Hamburg
Albert,Lennon,Hamburg
Dana,Harrison,NewYork
Scott,Epstein,NewYork
Albert,Starr,PaloAlto
Dana,Lennon,PaloAlto
Steven,Preston,Kiel
Johanna,Lennon,Hamburg
Johanna,Harrison,Kiel
Steven,Starr,Kiel
John,Harrison,TelAviv
John,Epstein,Hamburg
Michael,Harrison,NewYork
Scott,Lennon,Hamburg
Johanna,Epstein,PaloAlto
John,Sutcliffe,Kiel
Scott,Epstein,London
