firstname,secondname,city
Dana,Preston,Hamburg
Albert,Epstein,PaloAlto
Johanna,Harrison,TelAviv
Michael,Ono,London
John,Lennon,Munchen
Dana,Sutcliffe,PaloAlto
John,Sutcliffe,TelAviv
Scott,Preston,Munchen
Michael,Harrison,Kiel
Steven,Harrison,London
Marc,Epstein,TelAviv
Steven,Sutcliffe,NewYork
Albert,McCartney,London
Albert,Starr,Hamburg
Steven,Starr,NewYork
Marc,Preston,Hamburg
Johanna,Lennon,London
Johanna,Epstein,Kiel
Scott,Ono,Kiel
Steven,Preston,London
John,McCartney,Hamburg
Dana,Starr,NewYork
Marc,Preston,Kiel
Johanna,Ono,Kiel
Marc,Starr,Hamburg
Marc,Epstein,PaloAlto
Marc,Lennon,PaloAlto
John,Starr,Haifa
Michael,Harrison,Munchen
John,Harrison,TelAviv
Albert,Ono,PaloAlto
John,Starr,London
Dana,Starr,Kiel
Marc,Ono,Hamburg
Michael,Starr,PaloAlto
Michael,Ono,PaloAlto
John,Preston,PaloAlto
Scott,Harrison,Munchen
Johanna,McCartney,NewYork
Marc,Lennon,TelAviv
Marc,Epstein,NewYork
Marc,Harrison,NewYork
Johanna,Preston,TelAviv
Dana,Sutcliffe,London
Albert,Starr,Haifa
John,Preston,Kiel
Johanna,Epstein,Munchen
Steven,Epstein,NewYork
Dana,Sutcliffe,PaloAlto
John,Preston,NewYork
Albert,Epstein,TelAviv
Johanna,McCartney,Kiel
John,Harrison,Haifa
Johanna,Preston,Munchen
Steven,Ono,Munchen
John,Harrison,London
Steven,Ono,London
Steven,Lennon,Munchen
Johanna,Preston,NewYork
John,Epstein,Kiel
Dana,Sutcliffe,London
Scott,Sutcliffe,London
Michael,McCartney,London
Michael,Ono,NewYork
Scott,Preston,Kiel
Dana,Epstein,Munchen
John,Harrison,TelAviv
Steven,McCartney,Haifa
Michael,Epstein,Haifa
Johanna,McCartney,London
Albert,Starr,TelAviv
Dana,Epstein,Hamburg
Johanna,Epstein,Hamburg
Dana,Ono,London
Steven,Harrison,TelAviv
Steven,McCartney,Munchen
Scott,Sutcliffe,Haifa
Marc,Epstein,Munchen
Dana,Ono,NewYork
Albert,Harrison,Munchen
