firstname,secondname,city
Albert,Sutcliffe,Kiel
John,Ono,PaloAlto
Michael,Starr,NewYork
John,McCartney,Kiel
Michael,Lennon,Kiel
Albert,Ono,PaloAlto
Michael,Preston,TelAviv
Johanna,Preston,Kiel
Marc,Epstein,Haifa
Johanna,Harrison,Munchen
Dana,McCartney,Hamburg
Albert,Starr,London
John,Lennon,NewYork
Dana,Sutcliffe,Kiel
Marc,Sutcliffe,Kiel
Marc,Preston,Munchen
Michael,Ono,London
Steven,Sutcliffe,Haifa
John,Ono,Hamburg
John,Preston,Haifa
Steven,Lennon,TelAviv
John,Sutcliffe,Munchen
Steven,Harrison,Hamburg
Scott,McCartney,Haifa
Albert,Sutcliffe,Munchen
Johanna,Preston,TelAviv
Johanna,Sutcliffe,Haifa
Albert,McCartney,Haifa
Albert,Lennon,London
Marc,Preston,NewYork
Albert,Starr,Munchen
Steven,Preston,Munchen
Michael,Epstein,PaloAlto
Johanna,Epstein,London
Michael,Ono,Haifa
Michael,Sutcliffe,Kiel
Scott,Sutcliffe,NewYork
Steven,Sutcliffe,NewYork
Marc,Preston,London
Michael,Sutcliffe,Kiel
Scott,Ono,Munchen
Albert,Epstein,PaloAlto
Albert,Starr,TelAviv
Steven,Sutcliffe,Hamburg
John,Lennon,Munchen
Scott,Harrison,London
Marc,Harrison,Haifa
Scott,Harrison,PaloAlto
Johanna,Lennon,Haifa
Dana,Ono,TelAviv
John,McCartney,London
Scott,McCartney,Hamburg
Dana,Epstein,London
Albert,Harrison,PaloAlto
Marc,Lennon,Kiel
Steven,Starr,Haifa
Albert,Lennon,NewYork
Steven,Epstein,Kiel
Johanna,Epstein,Haifa
Johanna,Preston,Munchen
Steven,Ono,PaloAlto
Michael,Starr,Haifa
Dana,Lennon,Hamburg
Michael,Harrison,TelAviv
Johanna,Sutcliffe,Kiel
Steven,Preston,Haifa
Steven,Harrison,Hamburg
Michael,Sutcliffe,NewYork
Johanna,Sutcliffe,Munchen
Steven,Lennon,PaloAlto
John,Starr,Munchen
Scott,McCartney,TelAviv
John,Starr,PaloAlto
Johanna,Harrison,Hamburg
Marc,Starr,PaloAlto
