firstname,secondname,city
Dana,McCartney,London
Marc,Epstein,TelAviv
Dana,McCartney,Haifa
Marc,Lennon,NewYork
Scott,Starr,TelAviv
Marc,Starr,PaloAlto
Marc,Sutcliffe,PaloAlto
Albert,Ono,Hamburg
Albert,Epstein,NewYork
Michael,Ono,Hamburg
Johanna,Ono,NewYork
Scott,McCartney,PaloAlto
Marc,McCartney,PaloAlto
Dana,Ono,Haifa
Johanna,Ono,PaloAlto
John,McCartney,Kiel
Albert,Starr,NewYork
Steven,Preston,NewYork
Michael,Lennon,NewYork
Michael,Starr,NewYork
John,Starr,Haifa
Dana,Ono,Haifa
Johanna,Epstein,Munchen
Steven,McCartney,Haifa
Johanna,Ono,Haifa
Scott,Sutcliffe,TelAviv
Dana,Preston,PaloAlto
Marc,Ono,Haifa
John,Lennon,Munchen
John,Lennon,NewYork
Michael,Starr,London
Albert,Sutcliffe,London
Marc,McCartney,Munchen
Steven,Ono,Munchen
Marc,Harrison,TelAviv
John,Lennon,PaloAlto
Dana,Starr,Munchen
John,McCartney,Kiel
Steven,Sutcliffe,London
John,Preston,Hamburg
Steven,McCartney,Haifa
Albert,Sutcliffe,TelAviv
Dana,Starr,Hamburg
Johanna,Preston,TelAviv
Steven,McCartney,Hamburg
Michael,Starr,Munchen
Scott,Epstein,PaloAlto
John,Ono,Munchen
Steven,Sutcliffe,Munchen
Dana,Epstein,Hamburg
Steven,McCartney,Munchen
Albert,Sutcliffe,Kiel
Dana,McCartney,NewYork
Johanna,Preston,Hamburg
Steven,Harrison,Haifa
Scott,Sutcliffe,TelAviv
Steven,Ono,Kiel
Johanna,Lennon,NewYork
Dana,Epstein,Kiel
Albert,Epstein,Munchen
Johanna,Ono,NewYork
Marc,McCartney,London
Albert,Harrison,Hamburg
Johanna,Harrison,Hamburg
Scott,Ono,NewYork
Steven,Preston,TelAviv
Steven,Preston,PaloAlto
Dana,Sutcliffe,Munchen
Johanna,McCartney,London
Michael,Lennon,Haifa
Michael,Sutcliffe,London
Michael,Sutcliffe,PaloAlto
Dana,Epstein,Kiel
John,Epstein,Haifa
John,Starr,Munchen
