firstname,secondname,city
Michael,Lennon,Hamburg
Albert,Preston,London
Scott,Ono,Hamburg
Steven,Preston,PaloAlto
Albert,Harrison,Kiel
Marc,Epstein,PaloAlto
Scott,Ono,TelAviv
John,McCartney,Kiel
Dana,Ono,NewYork
Michael,Lennon,Munchen
John,Starr,Hamburg
Steven,Starr,Hamburg
Marc,Preston,London
Scott,Sutcliffe,Haifa
Marc,Harrison,Munchen
Dana,Lennon,PaloAlto
John,Harrison,Haifa
Marc,Lennon,PaloAlto
Marc,Sutcliffe,PaloAlto
Scott,Harrison,NewYork
Johanna,Harrison,Munchen
John,Ono,TelAviv
Scott,Sutcliffe,Haifa
Marc,Harrison,NewYork
Marc,Preston,NewYork
Dana,Harrison,Munchen
John,Sutcliffe,TelAviv
John,Ono,TelAviv
Steven,Preston,NewYork
Marc,McCartney,NewYork
John,Ono,Hamburg
John,Harrison,Kiel
Marc,Ono,PaloAlto
Scott,Starr,Haifa
John,Ono,London
Steven,McCartney,PaloAlto
Steven,Ono,Munchen
Marc,Preston,Munchen
Steven,Starr,Hamburg
Steven,McCartney,TelAviv
Johanna,Starr,Munchen
Steven,Ono,TelAviv
Johanna,Sutcliffe,Hamburg
Marc,Starr,TelAviv
John,Epstein,PaloAlto
Dana,McCartney,London
Marc,Lennon,Munchen
Albert,Starr,TelAviv
Steven,Ono,Munchen
Marc,Epstein,NewYork
John,Lennon,NewYork
Johanna,Lennon,Kiel
Dana,Epstein,PaloAlto
Steven,Starr,London
Marc,McCartney,Haifa
John,Harrison,London
Steven,Sutcliffe,London
Michael,Sutcliffe,Kiel
Marc,Harrison,Kiel
Johanna,Harrison,Munchen
John,Harrison,Hamburg
John,McCartney,TelAviv
Dana,Ono,London
Michael,Epstein,PaloAlto
Albert,Epstein,TelAviv
Johanna,Preston,Munchen
Michael,Lennon,Haifa
Johanna,Lennon,London
John,Preston,Munchen
Michael,Sutcliffe,Kiel
Michael,Starr,Munchen
Dana,Lennon,London
Steven,Lennon,London
Steven,McCartney,Kiel
Marc,McCartney,Kiel
Marc,McCartney,TelAviv
Dana,Ono,PaloAlto
Albert,Epstein,Kiel
Dana,Lennon,NewYork
John,Sutcliffe,Haifa
