firstname,secondname,city
Dana,Harrison,NewYork
Scott,Harrison,TelAviv
John,Harrison,Kiel
Dana,Starr,Hamburg
Steven,Preston,TelAviv
Michael,Starr,Munchen
Johanna,Epstein,Munchen
Scott,Epstein,Kiel
Johanna,Harrison,Hamburg
Marc,Lennon,London
John,McCartney,Kiel
Michael,Starr,Hamburg
Steven,Preston,NewYork
Scott,Sutcliffe,Hamburg
Scott,Sutcliffe,TelAviv
Scott,Epstein,Hamburg
Michael,Preston,Kiel
Dana,Starr,NewYork
Michael,Sutcliffe,London
Dana,Lennon,Kiel
Albert,Starr,PaloAlto
Michael,Sutcliffe,TelAviv
Johanna,Harrison,Hamburg
John,Ono,NewYork
John,Lennon,PaloAlto
Johanna,Ono,Hamburg
Marc,Preston,PaloAlto
Johanna,Lennon,Munchen
Michael,Starr,NewYork
Albert,Preston,Hamburg
Scott,Harrison,Hamburg
Michael,Epstein,Kiel
Albert,Preston,Munchen
Albert,Preston,London
Michael,Epstein,Kiel
Marc,Ono,Kiel
Dana,Preston,TelAviv
Scott,Starr,Hamburg
Michael,Epstein,London
John,Lennon,TelAviv
Albert,Ono,NewYork
Scott,Starr,NewYork
Steven,Starr,PaloAlto
Dana,Starr,Kiel
Marc,Lennon,Munchen
John,Starr,PaloAlto
John,Lennon,Munchen
Marc,Harrison,Munchen
Albert,Ono,PaloAlto
Albert,McCartney,Kiel
Michael,Ono,Kiel
John,Ono,Munchen
Albert,Lennon,TelAviv
Johanna,McCartney,Kiel
Michael,Epstein,Munchen
Michael,Ono,Haifa
Marc,Ono,Haifa
Michael,Starr,Kiel
Steven,McCartney,TelAviv
Dana,Harrison,Kiel
Dana,Preston,London
John,Lennon,Hamburg
Johanna,Sutcliffe,TelAviv
Marc,Lennon,NewYork
John,Starr,Hamburg
Johanna,Starr,Kiel
Steven,Preston,London
Albert,Lennon,Munchen
Scott,Epstein,Haifa
Albert,Lennon,NewYork
Scott,Ono,TelAviv
Johanna,Ono,Kiel
Marc,Preston,Haifa
Michael,Epstein,London
Johanna,Preston,NewYork
Johanna,Preston,Munchen
Steven,Preston,NewYork
Albert,Harrison,Haifa
Dana,McCartney,London
Michael,Sutcliffe,Haifa
