firstname,secondname,city
Scott,McCartney,PaloAlto
Scott,Sutcliffe,London
John,Ono,TelAviv
Johanna,Ono,Hamburg
Dana,Preston,London
Dana,Starr,PaloAlto
John,Starr,Hamburg
Dana,Ono,Haifa
Albert,Sutcliffe,NewYork
John,Sutcliffe,TelAviv
Scott,Epstein,NewYork
John,Harrison,PaloAlto
John,Starr,NewYork
Johanna,Epstein,NewYork
Albert,Lennon,Hamburg
Albert,McCartney,Kiel
Michael,Starr,PaloAlto
Dana,Sutcliffe,NewYork
Marc,McCartney,PaloAlto
Scott,Lennon,NewYork
John,Starr,TelAviv
Albert,Harrison,London
Albert,Starr,Hamburg
Scott,McCartney,Hamburg
Scott,Epstein,London
Marc,Ono,Haifa
Scott,McCartney,Munchen
Marc,Sutcliffe,PaloAlto
Marc,Lennon,Hamburg
Marc,Harrison,Haifa
Johanna,Preston,Kiel
Marc,Preston,TelAviv
Dana,Epstein,NewYork
John,Preston,PaloAlto
John,Preston,Kiel
Scott,Harrison,Kiel
Marc,Starr,NewYork
Marc,Epstein,Hamburg
John,Starr,Hamburg
Albert,Lennon,PaloAlto
Albert,Sutcliffe,Munchen
Dana,Preston,NewYork
Steven,Preston,Kiel
Marc,Harrison,NewYork
Dana,Lennon,Kiel
Dana,McCartney,TelAviv
Steven,Lennon,London
Johanna,Harrison,Munchen
Michael,Harrison,Haifa
Marc,McCartney,PaloAlto
John,Lennon,TelAviv
Scott,McCartney,Haifa
John,Sutcliffe,London
Michael,Epstein,Munchen
Johanna,Sutcliffe,Kiel
Steven,Harrison,TelAviv
John,McCartney,Munchen
Dana,Ono,NewYork
Steven,Lennon,PaloAlto
Michael,Lennon,London
Albert,Harrison,Haifa
John,Harrison,Kiel
Albert,Preston,TelAviv
Steven,Starr,NewYork
Michael,Epstein,Munchen
Steven,Epstein,PaloAlto
Johanna,McCartney,Munchen
Marc,Harrison,Hamburg
Marc,Sutcliffe,Hamburg
Michael,Ono,Hamburg
Marc,Harrison,TelAviv
Dana,Preston,Hamburg
Scott,McCartney,Hamburg
Michael,McCartney,Haifa
Marc,Ono,Munchen
