firstname,secondname,city
Marc,Ono,NewYork
Dana,Starr,Haifa
Marc,Preston,Kiel
Steven,Preston,Haifa
Marc,Starr,Haifa
Marc,Epstein,PaloAlto
Steven,Sutcliffe,Haifa
John,Sutcliffe,Munchen
Dana,Starr,NewYork
Steven,Epstein,NewYork
Dana,Sutcliffe,TelAviv
Steven,Ono,Haifa
Johanna,Epstein,Kiel
Albert,McCartney,TelAviv
Marc,Ono,TelAviv
Scott,Lennon,Munchen
Michael,Epstein,Hamburg
Albert,McCartney,TelAviv
Dana,Preston,NewYork
John,McCartney,London
John,Lennon,Munchen
Michael,Preston,NewYork
John,Ono,London
Dana,McCartney,Haifa
Steven,Harrison,PaloAlto
Scott,Starr,Hamburg
Albert,Lennon,Haifa
Albert,Starr,NewYork
John,Harrison,Haifa
Albert,Preston,TelAviv
Steven,Sutcliffe,PaloAlto
Johanna,Sutcliffe,TelAviv
Scott,Lennon,Kiel
John,Harrison,NewYork
Steven,Harrison,London
Johanna,McCartney,NewYork
Albert,Epstein,Kiel
Steven,Ono,Kiel
Marc,Epstein,London
Johanna,Starr,Haifa
Dana,Sutcliffe,London
Steven,Starr,TelAviv
Michael,McCartney,PaloAlto
Michael,Sutcliffe,PaloAlto
Michael,Preston,Haifa
Marc,Ono,Kiel
Dana,Harrison,London
Marc,Lennon,Munchen
Johanna,Epstein,Hamburg
Albert,Lennon,Hamburg
Steven,Lennon,Hamburg
Steven,Lennon,Munchen
Johanna,Sutcliffe,Munchen
Steven,Epstein,TelAviv
Albert,Starr,London
Michael,Ono,Hamburg
Steven,Sutcliffe,TelAviv
John,Ono,Munchen
Dana,Lennon,Hamburg
Albert,Preston,PaloAlto
Johanna,Harrison,PaloAlto
Dana,Harrison,London
Steven,Starr,PaloAlto
Johanna,Harrison,Munchen
Marc,Starr,Munchen
John,Preston,Munchen
Michael,Starr,Hamburg
Marc,Starr,Haifa
Albert,Starr,PaloAlto
Albert,Sutcliffe,Hamburg
Scott,Preston,Munchen
John,Epstein,Kiel
Michael,Lennon,London
Dana,Epstein,Munchen
Steven,Ono,Hamburg
Steven,Ono,Haifa
Albert,Starr,NewYork
Scott,Preston,PaloAlto
Dana,McCartney,TelAviv
Michael,Epstein,PaloAlto
