firstname,secondname,city
Steven,Epstein,Kiel
Johanna,Ono,PaloAlto
Marc,Lennon,PaloAlto
John,McCartney,TelAviv
Marc,Lennon,London
Marc,Harrison,Kiel
Albert,McCartney,Hamburg
Albert,Lennon,Haifa
Dana,Lennon,Hamburg
John,Harrison,TelAviv
Michael,McCartney,NewYork
Albert,Epstein,Haifa
Scott,Ono,Kiel
Albert,McCartney,NewYork
Johanna,Harrison,Munchen
Michael,Starr,Munchen
Scott,Lennon,Kiel
Steven,Starr,Haifa
Albert,Preston,Haifa
John,Epstein,Munchen
Marc,McCartney,NewYork
Albert,Ono,Munchen
Johanna,Epstein,PaloAlto
Albert,Preston,NewYork
John,Starr,Munchen
Michael,Starr,Kiel
Scott,Lennon,Kiel
John,Epstein,Kiel
Johanna,McCartney,Munchen
Albert,Ono,Munchen
Scott,McCartney,Kiel
Johanna,McCartney,PaloAlto
Michael,Sutcliffe,Kiel
Dana,Lennon,Munchen
Dana,Harrison,Kiel
Marc,Lennon,TelAviv
Dana,Preston,Munchen
Johanna,McCartney,NewYork
Dana,Ono,PaloAlto
Albert,Starr,Kiel
Scott,Ono,TelAviv
Johanna,Ono,Kiel
Dana,Starr,Hamburg
John,Epstein,TelAviv
Michael,McCartney,Hamburg
Albert,Epstein,Kiel
Johanna,Ono,London
Michael,Epstein,Haifa
Johanna,Ono,Kiel
John,Harrison,Kiel
Johanna,Starr,Hamburg
Michael,Ono,London
Johanna,Harrison,London
Albert,McCartney,Munchen
John,McCartney,NewYork
Michael,McCartney,Haifa
Scott,Harrison,Haifa
Steven,Ono,NewYork
Michael,Epstein,NewYork
John,Starr,Kiel
Dana,Epstein,NewYork
Michael,McCartney,NewYork
Michael,Starr,London
Albert,McCartney,Hamburg
John,McCartney,NewYork
Michael,Preston,Hamburg
Marc,Lennon,Hamburg
Steven,Lennon,Haifa
Michael,Lennon,Kiel
Johanna,Sutcliffe,TelAviv
Steven,Harrison,Munchen
John,Starr,NewYork
Dana,Harrison,Kiel
Scott,Preston,PaloAlto
John,Harrison,Haifa
Steven,Lennon,NewYork
Michael,Preston,Munchen
Marc,Harrison,Munchen
Scott,McCartney,TelAviv
Albert,Epstein,PaloAlto
