firstname,secondname,city
Scott,Preston,PaloAlto
Steven,Starr,NewYork
John,Sutcliffe,TelAviv
Johanna,Epstein,Kiel
Dana,Starr,TelAviv
Albert,Harrison,Hamburg
Johanna,Harrison,NewYork
Scott,Ono,TelAviv
Michael,Preston,London
Dana,Harrison,NewYork
Dana,McCartney,Kiel
Albert,McCartney,PaloAlto
John,Lennon,NewYork
Johanna,Sutcliffe,Hamburg
Michael,Lennon,NewYork
John,Epstein,Haifa
Scott,Sutcliffe,London
Albert,Lennon,Munchen
Michael,Epstein,Munchen
Marc,McCartney,Munchen
John,McCartney,Munchen
Albert,Starr,PaloAlto
Michael,Sutcliffe,Haifa
Albert,Starr,Haifa
Albert,Epstein,PaloAlto
Steven,Starr,Munchen
Albert,Starr,Haifa
Marc,Starr,Haifa
Steven,Harrison,Hamburg
Scott,Harrison,London
Scott,Lennon,Kiel
Michael,McCartney,Hamburg
John,Epstein,NewYork
Steven,Ono,Munchen
Michael,Starr,Kiel
Dana,Epstein,PaloAlto
Albert,Sutcliffe,Kiel
John,Preston,Hamburg
Johanna,Harrison,Haifa
Dana,Epstein,NewYork
Marc,Preston,PaloAlto
Johanna,Starr,Munchen
Marc,McCartney,NewYork
John,Sutcliffe,London
Steven,Preston,London
Johanna,Sutcliffe,TelAviv
Albert,Preston,Haifa
Michael,Epstein,Haifa
Marc,Sutcliffe,PaloAlto
Dana,Sutcliffe,London
John,Lennon,Hamburg
Albert,Starr,Hamburg
Michael,Ono,NewYork
John,McCartney,NewYork
Dana,Sutcliffe,TelAviv
Michael,McCartney,Hamburg
John,Preston,London
Dana,Sutcliffe,PaloAlto
Michael,Preston,Hamburg
Michael,Lennon,Hamburg
Scott,Lennon,TelAviv
Steven,Lennon,London
Steven,Sutcliffe,Kiel
Michael,Epstein,London
Scott,Harrison,Haifa
Johanna,Preston,Kiel
Scott,Starr,Kiel
Scott,Epstein,Munchen
Scott,Harrison,Haifa
Dana,Starr,Haifa
Albert,Preston,Hamburg
Steven,Preston,Munchen
Dana,Preston,Munchen
John,Ono,Kiel
John,Lennon,NewYork
