firstname,secondname,city
Johanna,Preston,Munchen
John,Sutcliffe,Haifa
John,McCartney,Kiel
Steven,Sutcliffe,Haifa
Dana,Sutcliffe,NewYork
John,Ono,NewYork
Michael,Harrison,TelAviv
Marc,Sutcliffe,Munchen
Johanna,Sutcliffe,NewYork
Johanna,McCartney,Munchen
Scott,Ono,PaloAlto
Johanna,Preston,PaloAlto
Marc,Harrison,Hamburg
Michael,Starr,London
John,Harrison,London
Dana,Sutcliffe,Kiel
Scott,McCartney,Haifa
Steven,Epstein,Munchen
Dana,Preston,TelAviv
Michael,Ono,TelAviv
John,Preston,Hamburg
John,Ono,Hamburg
Albert,Ono,Munchen
Johanna,Ono,NewYork
Scott,Sutcliffe,Kiel
Dana,Starr,London
Michael,Epstein,London
Scott,Epstein,Munchen
Michael,Harrison,NewYork
Albert,Ono,NewYork
Dana,Sutcliffe,London
Michael,McCartney,Kiel
John,Starr,PaloAlto
Marc,Epstein,Haifa
Steven,Sutcliffe,NewYork
Albert,Ono,PaloAlto
Scott,Lennon,Haifa
Marc,Harrison,PaloAlto
Dana,Preston,London
Dana,Harrison,Haifa
Steven,McCartney,TelAviv
Marc,Epstein,TelAviv
Steven,Ono,PaloAlto
John,Harrison,TelAviv
Albert,Preston,London
Steven,Ono,London
John,Sutcliffe,Haifa
Scott,Sutcliffe,NewYork
Scott,Harrison,Munchen
Scott,Epstein,Hamburg
Marc,Preston,TelAviv
Marc,Starr,NewYork
Scott,Starr,London
Albert,Lennon,PaloAlto
Steven,Preston,Munchen
Johanna,McCartney,NewYork
John,Harrison,Munchen
Michael,Lennon,TelAviv
Michael,Harrison,PaloAlto
Dana,Lennon,Munchen
Scott,Starr,TelAviv
Albert,Starr,London
Dana,Harrison,Munchen
Dana,Lennon,Kiel
Michael,Epstein,Hamburg
Dana,Starr,PaloAlto
John,Ono,TelAviv
Steven,Sutcliffe,London
Albert,Epstein,TelAviv
Michael,Harrison,Haifa
Michael,Lennon,TelAviv
Scott,Starr,Munchen
John,Sutcliffe,Haifa
Steven,Epstein,London
Albert,Epstein,Hamburg
