firstname,secondname,city
Johanna,McCartney,PaloAlto
Steven,Lennon,Hamburg
John,Ono,Haifa
Dana,Epstein,London
Dana,Preston,PaloAlto
John,Harrison,Munchen
Scott,McCartney,Kiel
Michael,Preston,Kiel
Steven,Epstein,London
Michael,Sutcliffe,Haifa
Marc,Harrison,London
Steven,Ono,London
Albert,Starr,PaloAlto
John,Harrison,Haifa
John,McCartney,Haifa
Johanna,Starr,London
John,Ono,NewYork
Michael,Ono,London
Michael,Sutcliffe,TelAviv
Dana,Starr,PaloAlto
Johanna,McCartney,Hamburg
John,Lennon,PaloAlto
Dana,Ono,Kiel
Steven,Sutcliffe,NewYork
Dana,Epstein,Hamburg
Steven,Epstein,Munchen
John,Starr,London
Michael,Harrison,London
Johanna,Epstein,Haifa
Dana,Starr,Munchen
John,Lennon,TelAviv
Scott,Preston,Haifa
Albert,Epstein,NewYork
Scott,Lennon,Munchen
John,Lennon,Kiel
Michael,Epstein,Haifa
Dana,Starr,NewYork
Michael,Starr,London
Albert,Starr,Munchen
John,Epstein,Munchen
Marc,Ono,Kiel
Scott,Lennon,PaloAlto
Steven,Lennon,Haifa
Marc,Ono,Haifa
Scott,Ono,PaloAlto
Johanna,McCartney,TelAviv
Steven,Starr,Kiel
Johanna,Epstein,Hamburg
Johanna,Sutcliffe,London
John,Harrison,Munchen
Marc,Preston,TelAviv
Scott,Ono,Haifa
Marc,Sutcliffe,TelAviv
Johanna,Sutcliffe,NewYork
Johanna,Sutcliffe,Kiel
Johanna,Preston,London
Michael,Sutcliffe,Munchen
Marc,Epstein,TelAviv
Michael,Lennon,Munchen
Steven,Ono,Haifa
Johanna,McCartney,London
Dana,Ono,Munchen
Marc,Harrison,London
Albert,Preston,London
Marc,Epstein,London
Johanna,McCartney,Munchen
John,Harrison,Kiel
Dana,Epstein,Haifa
Dana,Lennon,TelAviv
Marc,Preston,Hamburg
Marc,Sutcliffe,Hamburg
Michael,Lennon,TelAviv
Michael,Preston,Kiel
Scott,Sutcliffe,PaloAlto
Dana,Sutcliffe,Hamburg
Dana,Sutcliffe,London
John,Epstein,Hamburg
Steven,Starr,Munchen
Scott,Epstein,TelAviv
Steven,Starr,Haifa
